pk,name,oid,path
160,1938-Artefact_fig04-Mountford-Message_sticks_Nullabor_p123.JPG,EAEA0-D69E-ACAA-70E7-0,1938_Artefact_fig04_Mountford_Message_sticks_Nullabor_p123.JPG
161,1938-Artefact_fig03-Mountford-Message_sticks_Nullabor_p123.png,EAEA0-4C92-8231-4C13-0,1938_Artefact_fig03_Mountford_Message_sticks_Nullabor_p123.png
162,1938-Artefact_fig05-Mountford-Message_sticks_Nullabor_p123.png,EAEA0-BC19-4DEE-1A3E-0,1938_Artefact_fig05_Mountford_Message_sticks_Nullabor_p123.png
163,1938-Artefact_fig06Mountford-Message_sticks_Nullabor_p125.png,EAEA0-B94B-42C1-37FD-0,1938_Artefact_fig06Mountford_Message_sticks_Nullabor_p125.png
164,y-1938-Artefact_fig06-Mountford-p125_black.png,EAEA0-ACF6-6F90-0959-0,y_1938_Artefact_fig06_Mountford_p125_black.png
165,1938-Artefact_fig07Mountford-Message_sticks_Nullabor_p125.png,EAEA0-885A-9896-019E-0,1938_Artefact_fig07Mountford_Message_sticks_Nullabor_p125.png
166,1938-Artefact_fig09-Mountford-Message_sticks_Nullabor_p125.png,EAEA0-268F-30C1-D266-0,1938_Artefact_fig09_Mountford_Message_sticks_Nullabor_p125.png
167,1938-Artefact_fig08-Mountford-Message_sticks_Nullabor_p125.png,EAEA0-582C-7C9A-4E65-0,1938_Artefact_fig08_Mountford_Message_sticks_Nullabor_p125.png
168,1938-Artefact_fig10-Mountford-Message_sticks_Nullabor_p125.png,EAEA0-D4C9-27F8-EE14-0,1938_Artefact_fig10_Mountford_Message_sticks_Nullabor_p125.png
169,1878-Brough_Smythe-Aborigines_of_Victoria-vol1-reduced.pdf,EAEA0-18D7-C159-D933-0,1878_Brough_Smythe_Aborigines_of_Victoria_vol1_reduced.pdf
170,x_1912-Danzel-Die_Anfaenge_der_Schrift.pdf,EAEA0-0405-965F-E2EB-0,x_1912_Danzel_Die_Anfaenge_der_Schrift.pdf
